partition_id,quant_bits,coder_channels,en_stride,map50,loss
1,8,32,7,0.6501597784962609,0.05433038994669914
1,-1,2,1,0.906492549791922,0.030004264786839485
0,2,64,7,0.0,100.0
3,8,1,3,0.599718729486448,0.06142497435212135
3,8,4,3,0.6299358449969956,0.06047598645091057
1,8,32,9,0.5493184527427974,0.06449978053569794
1,1,4,1,0.680367497791982,0.05149461328983307
1,-1,64,1,0.8956972463892217,0.030069584026932716
1,4,4,2,0.8789854105237446,0.033944711089134216
0,4,1,3,0.0,100.0
3,2,16,7,0.39112159774960664,0.07450350373983383
3,-1,32,7,0.4036023814233369,0.07500249147415161
0,-1,4,5,0.0,100.0
0,-1,64,9,0.0,100.0
0,4,64,6,0.0,100.0
1,2,8,7,0.5589906342434094,0.06211155280470848
0,1,2,7,0.0,100.0
3,2,4,3,0.6468322212458488,0.059731561690568924
1,4,16,2,0.0,100.0
